2006/01/07,11:12:10.54 43.3522 146.8843 38.30 3.8 E_OFF_HOKKAIDO 55;180 78;20 106;37 4.68e+14 50 3.7 77.08 -0.0171 1.3177 3.5397 -1.7437 -2.1442 1.7608 1e+14 3
2006/01/07,20:52:40.72 24.6703 121.9658 64.01 3.8 TAIWAN_REGION 327;68 70;63 -29;-158 1.35e+15 74 4.1 69.82 1.2697 0.7182 0.0490 -0.6791 0.4349 -0.5907 1e+15 2
2006/01/09,01:34:27.17 26.8428 125.1400 196.00 4.9 NW_OFF_MIYAKOJIMA_ISLAND 28;149 69;37 -59;-143 1.87e+16 210 4.8 88.41 -0.5838 -0.0016 -0.7872 1.6412 0.9108 -1.0573 1e+16 3
2006/01/09,02:01:38.05 23.1195 121.4732 77.00 4.6 TAIWAN_REGION 235;127 87;8 -98;-18 4.02e+16 77 5.0 54.94 0.7512 -0.0295 3.2386 -0.4364 -2.2877 -0.3148 1e+16 3
2006/01/09,07:25:10.92 38.1722 144.7122 51.00 4.9 FAR_E_OFF_NORTH_HONSHU 323;182 59;38 -113;-58 1.78e+15 5 4.1 89.99 -0.0697 0.5724 0.7113 1.5062 0.3902 -1.4365 1e+15 3
2006/01/09,10:30:41.81 29.8187 138.4322 50.00 4.3 NEAR_TORISHIMA_IS 275;140 66;32 68;131 1.14e+16 35 4.7 70.93 -0.9459 -0.6300 -0.6587 0.3499 -0.1541 0.5960 1e+16 3
2006/01/09,14:48 35.0 137.4 40 3.8 NE_AICHI_PREF 350;201 56;38 -109;-65 4.88e+14 38 3.8 93.32 -0.2759 -0.4717 1.1747 4.5918 1.5105 -4.3159 1e+14 3
2006/01/09,18:41:57.25 31.7633 129.1683 12.82 3.9 SW_OFF_KYUSHU 191;98 88;32 -122;-4 6.40e+14 5 3.8 92.46 1.0688 -3.2622 1.2097 -0.7117 -5.3022 -0.3571 1e+14 3
2006/01/10,08:17:07.62 38.7957 142.4172 42.09 3.9 E_OFF_MIYAGI_PREF 26;154 66;36 117;44 5.07e+14 65 3.8 63.89 0.7072 -0.1190 2.4171 -4.1847 -2.2180 3.4774 1e+14 3
2006/01/10,10:21:44.72 42.8678 143.7082 85.02 4.2 TOKACHI_REGION 235;60 82;8 89;94 3.51e+15 83 4.3 96.60 -0.6762 0.5835 -2.7697 -0.1674 1.9335 0.8436 1e+15 3
2006/01/11,00:07:00.86 43.3988 145.2150 117.77 4.4 NEMURO_REGION 78;174 87;30 120;7 4.08e+15 122 4.4 96.14 0.4398 1.9459 3.4574 -0.8566 -0.5785 0.4168 1e+15 3
2006/01/11,08:45:35.27 24.7778 127.4937 69.00 3.7 NEAR_OKINAWAJIMA_ISLAND 276;186 86;77 13;176 2.70e+15 59 4.3 63.16 0.3183 -2.5832 -0.5699 -0.7520 -0.0276 0.4337 1e+15 3
2006/01/11,14:31:38.00 42.0692 147.7513 10.00 4.0 FAR_SE_OFF_HOKKAIDO 277;38 82;14 -78;-148 4.39e+14 5 3.7 57.39 1.3118 -0.7760 4.0886 -0.1437 0.6277 -1.1681 1e+14 3
