20060321 2141 42.22 37 48.56 122  4.26  12.94   3.70138  37  1.0 0.26  0.2  0.4  W 145 85   0  0.09 142  0.13 0.64 0.18   8 33 10    21510121
20060321 2145 26.86 37 48.77 122  4.07  12.48   2.80 85  37  1.0 0.11  0.2  0.3  D  50 90-170  0.11  77  0.14 0.70 0.91   8 23 30    51169284
20060321 2156 13.70 37 48.65 122  3.94  12.06   2.09 68  37  1.0 0.08  0.1  0.2  D  45 90-160  0.08  58  0.14 0.74 0.03  15 35 50    21510126
20060321 2228  7.04 37 48.72 122  3.90  12.70   2.28 75  37  1.0 0.10  0.2  0.3  D 115 65 -40  0.06  71  0.11 0.56 0.10  13 18 15    21510130
20060321 2346 56.71 37 48.72 122  4.28  12.60   2.55100  32  1.0 0.18  0.2  0.3  D 230 85 160  0.06  85  0.11 0.67 0.05   8 20 30    21510143
20060322 0221 29.11 37 48.65 122  4.08  12.43   2.43 83  37  1.0 0.10  0.1  0.2  D 145 90 -10  0.09  82  0.14 0.72 0.01  10 40 35    21510162
20060322 0350  7.87 37 48.79 122  4.11  11.94   2.01 53  41  1.0 0.11  0.2  0.3  D 140 90 -30  0.15  41  0.21 0.66 0.10  10 30 30    21510168
20060322 0532 42.89 37 48.77 122  4.00  11.87   2.03 53  38  1.0 0.10  0.2  0.3  D 135 80  20  0.09  40  0.15 0.66 0.12  10 25 35    21510183
20060322 0829 39.34 37 48.88 122  3.89  12.72   2.18 76  37  0.0 0.11  0.2  0.3  D 130 65   0  0.08  76  0.13 0.69 0.01  13 40 25    21510195
20060323 1836 37.14 37 53.88 121 58.91  10.19   2.10 74  39  4.0 0.13  0.1  0.2  D 110 60 -90  0.11  50  0.19 0.54 0.02  20 10 25    30230301
20060329 1313 10.77 36 31.72 121  5.77   1.19   3.02 52  65  3.0 0.17  0.2  0.5  D 345 50 -10  0.27  70  0.33 0.43 0.11  20 33 25    21510968
20060329 1321 22.43 36 31.12 121  5.40   2.07   2.10 27  68  2.0 0.04  0.2  0.3  D 125 55-100  0.01  25  0.13 0.45 0.00  20  5 50    21510969
20060329 1321 22.43 36 31.12 121  5.40   2.07   2.10 27  68  2.0 0.04  0.2  0.3  D   5 50 -20  0.01  25  0.14 0.63 0.00  30 25 40 *  21510969
20060401 0226 28.29 37 25.64 121 50.21   1.93   2.64 97  28  4.0 0.08  0.1  0.4  D 145 50  30  0.05  84  0.10 0.61 0.00  13 13 35    21511265
20060401 1138 52.15 36 31.05 121  5.60   1.85   2.08 27  59  2.0 0.04  0.2  0.3  D 105 80-130  0.04  27  0.12 0.64 0.00  18 23 25    21511287
20060401 1138 52.15 36 31.05 121  5.60   1.85   2.08 27  59  2.0 0.04  0.2  0.3  D 250 60 100  0.05  27  0.13 0.56 0.00  18 15 30 *  21511287
20060401 1225 59.78 36 31.17 121  5.61   1.88   4.34 70  37  2.0 0.07  0.1  0.2  L 130 35-160  0.27 128  0.30 0.60 0.29  20 38 30    21511291
20060401 1231 44.73 36 31.05 121  5.44   2.07   2.15 35  63  2.0 0.05  0.2  0.6  D 225 50  60  0.15  30  0.21 0.58 0.10  20 10 45C   21511293
20060401 1252 26.46 36 31.00 121  5.60   1.91   2.51 48  57  2.0 0.07  0.1  0.3  D 120 50-100  0.24  58  0.30 0.40 0.02  20  5 15    21511294
20060401 1252 26.46 36 31.00 121  5.60   1.91   2.51 48  57  2.0 0.07  0.1  0.3  D 355 75 -10  0.26  58  0.31 0.62 0.02  10 25 30 *  21511294
20060401 1254 21.58 36 31.09 121  5.62   1.81   2.13 35  60  2.0 0.04  0.1  0.3  D  95 55-160  0.10  35  0.18 0.69 0.09  18 38 60    30230340
20060401 1348 18.32 36 30.96 121  5.15   0.02   2.16 30  67  1.0 0.10  0.2  0.4  D 135 25-100  0.03  31  0.11 0.48 0.06  20  5 20C   21511305
20060401 1348 18.32 36 30.96 121  5.15   0.02   2.16 30  67  1.0 0.10  0.2  0.4  D 330 65 -40  0.04  31  0.11 0.45 0.06  10 13 20C*  21511305
20060401 1814  0.06 36 48.69 121 31.88   5.37   2.22 65  34  3.0 0.09  0.2  0.3  D 215 75 150  0.20  71  0.25 0.69 0.00  15 30 45    21511337
20060402 0428 55.59 36 46.97 121 28.94   4.33   2.91 64  33  4.0 0.10  0.1  0.2  D 155 50  60  0.16  94  0.21 0.55 0.03  10  8 20    21511389
20060402 0428 55.59 36 46.97 121 28.94   4.33   2.91 64  33  4.0 0.10  0.1  0.2  D  30 65 160  0.17  94  0.21 0.60 0.03   8 23 20C*  21511389
20060402 2025 36.88 36 31.06 121  5.50   1.91   2.08 29  62  2.0 0.05  0.1  0.3  D 195 70  50  0.10  30  0.18 0.69 0.00  18 15 40    21511459
20060402 2125 18.36 36 31.65 121  5.42   1.68   2.51 44  65  2.0 0.08  0.1  0.4  D 130 50 -70  0.15  50  0.20 0.38 0.14   8  3 10    21511463
20060402 2157 31.07 36 31.67 121  5.43   1.71   2.78 49  54  2.0 0.06  0.1  0.2  D 135 45 -80  0.22  70  0.28 0.43 0.13  25  5 25    21511469
20060402 2157 31.07 36 31.67 121  5.43   1.71   2.78 49  54  2.0 0.06  0.1  0.2  D 255 85-180  0.29  70  0.35 0.59 0.13  15 30 20 *  21511469
20060404 0014 19.85 36 31.37 121  5.09   3.14   2.41 46  65  2.0 0.10  0.2  0.3  D  20 85 -60  0.21  48  0.28 0.68 0.06  30 25 35    21511579
20060408 0812 14.99 36 30.96 121  5.33   2.31   2.19 31  82  1.0 0.05  0.2  0.3  D 345 70  10  0.14  31  0.22 0.47 0.10  15 25 40    21512174
20060411 1304 25.97 36 33.22 121  4.95  10.58   2.06 38  65  5.0 0.07  0.2  0.3  D  90 65-170  0.12  38  0.19 0.73 0.03  15 35 30    21512552
20060412 1437  2.96 36 29.14 121  1.06   8.97   2.49 55  68  6.0 0.08  0.2  0.3  D 255 65 130  0.11  64  0.17 0.53 0.05  15 18 20    21512686
20060413 0713 42.71 36 44.80 121 26.07   6.19   2.54 70  37  2.0 0.17  0.2  0.3  D 210 85 140  0.16  75  0.21 0.62 0.03  15 25 50    21512745
20060413 0833 23.77 36 35.05 121  7.27   8.14   2.75 58  44  6.0 0.09  0.1  0.3  D  95 80-120  0.14  80  0.20 0.60 0.06  15 15 15    21512751
20060413 0909 57.51 36 34.97 121  7.18   7.93   2.23 41  56  6.0 0.09  0.2  0.4  D 260 80 130  0.09  53  0.15 0.59 0.06  15 25 35    21512754
20060414 0607 25.99 36 39.72 121 16.66  11.57   2.30 48  33  1.0 0.04  0.1  0.2  D 195 45  80  0.15  75  0.20 0.59 0.03  18 13 20    21512854
20060414 2255 15.70 36 31.49 121  5.36   1.79   2.28 32  65  2.0 0.05  0.1  0.3  D 110 45 -80  0.07  40  0.15 0.40 0.08  10  5 10C   21512956
20060416 0441 39.98 36 50.69 121 34.70   7.17   2.86 71  46  2.0 0.09  0.2  0.3  D 315 60  20  0.20  84  0.24 0.63 0.07  10 33 30    21513087
20060416 0637 26.70 37 51.35 122 14.56   9.04   2.88101  18  2.0 0.15  0.1  0.3  D 320 85  10  0.12 100  0.16 0.67 0.08  10 28 25    21513099
20060417 0752  8.14 36 42.49 121 20.56   3.56   2.07 45  53  0.0 0.07  0.2  0.3  D 140 80  10  0.15  51  0.20 0.65 0.04  10 43 30    21513209
20060420 0303 54.59 36 49.17 121 32.52   5.68   2.21 56  36  4.0 0.07  0.1  0.3  D 200 45 140  0.17  68  0.22 0.68 0.04  20 33 35    21513559
20060422 0354  9.22 36 35.11 121 10.83   5.15   2.42 54  50  1.0 0.05  0.1  0.3  D  50 65-170  0.13  64  0.19 0.59 0.03   8 35 60C   21513855
20060423 0029 30.93 37 12.60 122  6.75  13.05   2.29 36  64  8.0 0.08  0.2  0.5  D 285 85 140  0.13  35  0.23 0.66 0.03  23 30 40    21513955
20060423 0029 30.93 37 12.60 122  6.75  13.05   2.29 36  64  8.0 0.08  0.2  0.5  D 100 25 110  0.20  35  0.30 0.62 0.03  33 20 25 *  21513955
20060423 0113 37.60 37 48.27 122  4.53  11.76   2.39 90  36  2.0 0.11  0.1  0.3  D 235 80 150  0.07  80  0.13 0.65 0.03  10 25 35    21513959
20060423 1102 11.89 36 33.32 121  8.93   7.12   2.15 43  55  4.0 0.06  0.1  0.4  D 230 35-160  0.08  51  0.14 0.57 0.04  10 30 20    21513995
20060423 1826 40.53 36 46.09 121 28.22   6.45   2.19 56  33  2.0 0.07  0.2  0.3  D 315 85  30  0.12  68  0.18 0.70 0.00  15 33 40    21514035
20060423 1826 40.53 36 46.09 121 28.22   6.45   2.19 56  33  2.0 0.07  0.2  0.3  D 160 35  40  0.17  68  0.22 0.57 0.00  10 15 10C*  21514035
20060423 2017  7.89 36 47.72 121 25.48  10.49   3.22 79  27  4.0 0.14  0.2  0.3  L 140 50  10  0.15 110  0.19 0.56 0.12   8 28 15    21514049
20060425 0040 35.97 37 22.39 122 13.26   7.53   2.31 38  55  3.0 0.06  0.2  0.3  D 175 75  50  0.06  27  0.12 0.62 0.89   8 10 25    51170328
20060425 0041 25.84 37 22.23 122 13.09   7.83   2.39 62  44  3.0 0.07  0.1  0.2  D 205 20  60  0.11  50  0.18 0.55 0.08  18 28 25    21514191
20060425 0113 14.66 37 22.35 122 13.34   7.71   2.18 57  55  3.0 0.07  0.1  0.2  D 205 55  70  0.09  57  0.17 0.61 0.02  20 33 40    21514194
20060426 0004 55.05 36 58.34 121 36.94   4.26   2.19 67  33  3.0 0.10  0.1  0.3  D 215 75 130  0.15  70  0.20 0.52 0.09  13 15 50    21514343
20060427 1355 51.85 36 26.39 121  0.86   5.74   2.20 27  83 10.0 0.05  0.2  1.2  D 160 70  40  0.04  27  0.15 0.64 0.00  20 40 25C   21514557
20060427 1355 51.85 36 26.39 121  0.86   5.74   2.20 27  83 10.0 0.05  0.2  1.2  D  55 60-170  0.04  27  0.15 0.75 0.00  20 45 80C*  21514557
20060428 1448 54.13 37 48.35 122  4.47  11.84   2.00 59  37  2.0 0.10  0.2  0.3  D 225 85 160  0.19  57  0.27 0.64 0.04  18 35 40    21514717
20060501 0230 23.96 37 44.63 122  8.93   5.26   2.09 65  36  3.0 0.09  0.1  0.2  D 215 40 140  0.12  60  0.20 0.61 0.02  25 20 30    21515051
20060501 0230 23.96 37 44.63 122  8.93   5.26   2.09 65  36  3.0 0.09  0.1  0.2  D  80 10  90  0.18  60  0.26 0.46 0.02  28 13 15 *  21515051
20060502 0812 10.20 36 44.75 121 26.16   6.65   2.75 73  34  2.0 0.15  0.2  0.3  D 310 55  10  0.18  80  0.22 0.64 0.09   8 35 25    21515213
