-116.362  34.070 1992  6 28 2.9   2.01 18 22
-116.850  34.157 1992  6 28 3.5   4.30 18 23
-116.818  34.219 1992  6 28 3.6   7.43 18 25
-116.434  34.256 1992  6 28 3.5   3.71 18 26
-116.573  34.571 1992  6 28 3.4   0.00 18 27
-116.484  34.424 1992  6 28 3.1   7.57 18 28
-116.978  34.997 1992  6 28 3.3   4.60 18 35
-117.537  35.659 1992  6 28 2.5   2.01 18 36
-116.355  34.034 1992  6 28 3.0   1.60 18 40
-116.362  34.065 1992  6 28 3.4   0.00 18 43
-116.789  34.195 1992  6 28 3.0   5.99 18 48
-116.791  34.195 1992  6 28 3.5  10.81 18 53
-116.862  34.227 1992  6 28 3.5   4.79 18 55
-116.455  34.282 1992  6 28 2.9   8.92 18 57
-116.808  34.179 1992  6 28 3.3   4.79 18 58
-116.674  34.625 1992  6 28 3.0   6.69 18 59
-116.740  34.258 1992  6 28 3.8   1.40 19  0
-115.449  32.797 1992  6 28 1.8   9.44 19  6
-117.802  36.087 1992  6 28 2.1   6.23 19  7
-116.452  34.160 1992  6 28 3.8   3.78 19 11
-116.387  34.105 1992  6 28 3.5   4.31 19 13
-116.287  33.839 1992  6 28 2.5   2.10 19 15
-118.048  35.922 1992  6 28 2.1  11.72 19 15
-116.835  34.304 1992  6 28 3.7   2.71 19 19
-116.800  34.179 1992  6 28 4.2   0.41 19 26
-116.488  34.122 1992  6 28 3.6  18.01 19 30
-117.395  35.924 1992  6 28 3.5  10.18 19 36
-116.520  34.522 1992  6 28 3.5  11.47 19 36
-116.440  34.377 1992  6 28 3.0   2.87 19 37
-116.438  34.194 1992  6 28 3.7   3.22 19 42
-116.436  34.137 1992  6 28 2.8   6.00 19 43
-116.839  34.164 1992  6 28 3.0   2.88 19 45
-116.434  34.246 1992  6 28 3.5   3.99 19 46
-116.748  34.225 1992  6 28 2.7   2.33 19 48
-116.452  34.239 1992  6 28 3.0  10.88 19 53
-116.786  34.233 1992  6 28 2.9   3.36 19 54
-116.394  34.064 1992  6 28 3.4   1.15 19 55
-116.843  34.233 1992  6 28 3.2   6.00 19 58
-116.451  34.261 1992  6 28 3.4   2.25 20  1
-116.407  34.131 1992  6 28 2.6   6.00 20  2
-116.294  33.883 1992  6 28 3.6   1.22 20  4
-116.651  34.642 1992  6 28 3.2  12.52 20  5
-116.510  33.796 1992  6 28 3.3   0.00 20 10
-117.719  35.912 1992  6 28 2.6   6.82 20 10
-116.349  34.021 1992  6 28 2.9   1.98 20 11
-116.374  34.110 1992  6 28 3.0   8.04 20 12
-116.351  34.055 1992  6 28 3.1   4.60 20 13
-116.827  34.153 1992  6 28 2.8   7.77 20 14
-116.821  34.182 1992  6 28 3.0   2.08 20 14
-116.979  35.030 1992  6 28 3.6   1.22 20 14
-116.718  34.799 1992  6 28 3.1  12.86 20 16
-116.348  34.037 1992  6 28 2.8   2.63 20 16
-116.821  34.185 1992  6 28 2.8   8.95 20 17
-116.953  34.994 1992  6 28 3.0   3.43 20 18
-116.669  34.645 1992  6 28 2.9   5.13 20 19
-116.453  34.353 1992  6 28 2.8   8.38 20 19
-116.743  34.234 1992  6 28 2.6  10.08 20 22
-116.744  34.234 1992  6 28 2.6  10.05 20 22
-116.415  34.134 1992  6 28 3.6   2.01 20 23
-117.624  35.647 1992  6 28 2.8   4.50 20 34
-116.961  35.000 1992  6 28 3.1   1.07 20 34
-116.501  34.460 1992  6 28 3.1   8.45 20 37
-117.252  34.047 1992  6 28 2.6  15.82 20 46
-116.523  34.096 1992  6 28 3.5   8.63 20 46
-116.532  34.450 1992  6 28 3.0  12.86 20 48
-116.348  34.007 1992  6 28 3.0   2.50 20 49
-116.547  34.606 1992  6 28 3.0  14.25 20 49
-116.794  34.168 1992  6 28 2.6  11.40 20 50
-116.777  34.202 1992  6 28 4.1  12.62 20 51
-116.817  34.190 1992  6 28 3.3   0.03 20 54
-116.804  34.207 1992  6 28 2.9   1.00 20 55
-117.721  35.910 1992  6 28 2.4   4.96 20 57
-116.637  34.598 1992  6 28 3.5   0.12 20 58
-116.756  34.200 1992  6 28 2.9   2.42 21  6
-117.012  33.977 1992  6 28 2.3  12.54 21  7
-116.742  34.242 1992  6 28 3.3  10.54 21  9
-116.871  34.149 1992  6 28 2.7   4.13 21 11
-116.424  34.098 1992  6 28 4.6   0.46 21 13
-116.715  34.256 1992  6 28 2.9   1.73 21 15
-116.691  34.659 1992  6 28 3.5   1.11 21 16
-116.755  34.223 1992  6 28 3.2   2.68 21 19
-116.424  34.171 1992  6 28 3.3   0.00 21 22
-116.743  34.237 1992  6 28 3.5  11.63 21 23
-116.416  34.106 1992  6 28 3.0   2.41 21 24
-116.403  34.132 1992  6 28 3.1   6.51 21 24
-116.884  34.116 1992  6 28 3.2   0.06 21 27
-116.940  34.964 1992  6 28 3.3   0.81 21 30
-116.505  34.411 1992  6 28 2.1  10.70 21 34
-116.381  34.121 1992  6 28 2.8   9.01 21 34
-116.469  34.414 1992  6 28 3.3   2.86 21 38
-116.400  34.209 1992  6 28 2.7   2.84 21 39
-116.732  34.124 1992  6 28 3.4  10.95 21 40
-116.800  34.168 1992  6 28 2.7   0.05 21 41
-116.790  34.257 1992  6 28 2.8   7.83 21 41
-116.683  34.151 1992  6 28 2.7  12.14 21 42
-116.341  34.015 1992  6 28 2.9   0.03 21 44
-116.646  34.623 1992  6 28 3.3   3.65 21 45
-116.866  34.133 1992  6 28 3.5  10.22 21 46
-116.730  34.125 1992  6 28 2.5  10.69 21 47
-116.350  34.023 1992  6 28 2.8   0.01 21 47
-116.866  34.132 1992  6 28 0.7  10.00 21 49
-116.344  34.018 1992  6 28 3.3   1.56 21 49
-116.405  34.119 1992  6 28 3.0   0.76 21 50
-116.599  34.763 1992  6 28 3.8  16.72 21 51
-116.463  34.345 1992  6 28 3.6   1.77 21 51
