> Shore Bin # 1897, Level 1
-164	68.9814908064
-164.081727321	68.9678797589
-164.163485161	68.9437399863
-164.271732662	68.9279316396
-164.465094987	68.917067216
-164.616739147	68.917097734
-164.625986114	68.914961471
-164.623514153	68.9120927749
-164.654947738	68.9120927749
-164.715007248	68.9020523384
-164.893354696	68.8912184329
-164.891645686	68.8854200046
-164.90171664	68.8904249638
-164.911726558	68.8904554818
-164.970016022	68.8837109941
-165.120042725	68.8770580606
-165.15849546	68.8696116579
-165.223346304	68.8679026474
-165.333394369	68.8587777523
-165.516624704	68.8562447547
-165.570031281	68.8528877699
-165.663294423	68.8545662623
-165.791866941	68.8620737011
-165.795101854	68.8562142367
-165.801754788	68.862043183
-165.825009537	68.8637521935
-166	68.870374609
> Shore Bin # 1897, Level 1
-166	68.1613488975
-165.982604715	68.1416647593
-165.958373388	68.1320515755
-165.873502708	68.1087663081
-165.803372244	68.0987258717
-165.728328374	68.0945448997
-165.631738766	68.0812085145
-165.483390555	68.0570687419
-165.351766232	68.0270389868
-165.268390936	68
> Shore Bin # 1898, Level 1
-162.460181582	70
-162.456763561	69.9949034867
-162.479530022	69.9750057221
-162.495246815	69.9714656291
-162.486762799	69.9673151751
-162.491218433	69.9593194476
-162.495765621	69.9667048142
-162.585549706	69.9133897917
-162.59781796	69.9149462119
-162.600350958	69.9187304494
-162.611581598	69.9180895705
-162.649729152	69.9000839246
-162.660868238	69.8997177081
-162.67316701	69.8875410086
-162.708049134	69.8770428016
-162.7135729	69.878049897
-162.731456474	69.8658121614
-162.796337835	69.8388342107
-162.822339208	69.8330052644
-162.837354086	69.815304799
-162.863324941	69.8083161669
-162.873212787	69.8099641413
-162.876508736	69.8067902647
-162.907820249	69.802121004
-162.909773404	69.7953459983
-162.917280842	69.7933012894
-162.921187152	69.7954985885
-162.929549096	69.78533608
-162.959151598	69.7845426108
-162.960158694	69.7793850614
-162.968368048	69.7781033036
-162.961989776	69.7740138857
-162.96723888	69.7654993515
-162.966018158	69.7559166857
-162.95585565	69.7535362783
-162.970077058	69.753292134
-162.982436866	69.761684596
-162.999130236	69.7573815518
-162.991470207	69.7615014878
-163.000015259	69.7656214237
-163.008163577	69.7617761501
-163.033310445	69.7272297246
-163.000015259	69.7257648585
-162.94523537	69.7124895094
-162.921095598	69.6942092012
-162.946120394	69.6863050278
-162.967177844	69.6735484855
-162.988906691	69.6709849699
-163.016006714	69.6768749523
-163.036423285	69.6918287938
-163.043411917	69.6906691081
-163.047104601	69.6791332876
-163.031326772	69.6687266346
-163.051346609	69.6645456626
-163.055283436	69.6524299992
-163.046005951	69.6499885557
-163.027176318	69.6516670481
-162.990341039	69.6422064546
-163.014847028	69.6434882124
-163.046982528	69.6358892195
-163.039841306	69.6317082475
-163.022507057	69.629968719
-163.009719997	69.6122072175
-163.037521935	69.6137636378
-163.033768215	69.6106507973
-163.043900206	69.6123292897
-163.0673991	69.6089417868
-163.08455024	69.5959716182
-163.102952621	69.5899595636
-163.111192493	69.5975890745
-163.11747921	69.5953002213
-163.117692836	69.5887998779
-163.100694285	69.5799191272
-163.034744793	69.5589837491
-163.036514839	69.5540703441
-163.019913024	69.5394827192
-163.046189059	69.5337453269
-163.049332418	69.5295643549
-163.026688029	69.514274815
-163.041733425	69.4847638666
-163.065384909	69.4817120623
-163.08284123	69.4885786221
-163.092271305	69.4827496757
-163.071366445	69.460593576
-163.088639658	69.4467383841
-163.089829862	69.4203402762
-163.1054551	69.4128023194
-163.09983978	69.4067292287
-163.106523232	69.3925078202
-163.093186847	69.3848477913
-163.095384146	69.3742580301
-163.101548791	69.3723964294
-163.111894408	69.374196994
-163.130174716	69.366567483
-163.132219425	69.3538109407
-163.146898604	69.3487754635
-163.179125658	69.3144731823
-163.197863737	69.3138933394
-163.232745861	69.2816052491
-163.259052415	69.2824902724
-163.286152438	69.2753490501
-163.276874952	69.2806591897
-163.265461204	69.2813916228
-163.263385977	69.2881666285
-163.249958038	69.2873121233
-163.248065919	69.2990920882
-163.21278706	69.3168230716
-163.216357671	69.3225604639
-163.167833982	69.3658045319
-163.174792096	69.3716945144
-163.160204471	69.3781338216
-163.161486229	69.3889677272
-163.151659419	69.4021820401
-163.135332265	69.4037079423
-163.125963226	69.4131074998
-163.148577096	69.4175020981
-163.160234989	69.4093537804
-163.211169604	69.3341268025
-163.255207141	69.2986343175
-163.40218204	69.2193179217
-163.445487144	69.2040894179
-163.475944152	69.1880979629
-163.526604105	69.1494621195
-163.560875868	69.1301747158
-163.652399481	69.093369955
-163.692408637	69.0720378424
-163.791592279	69.0504310674
-163.836423285	69.0371252003
-163.898863203	69.0066681926
-163.951781491	68.989517052
-164	68.9814908064
> Shore Bin # 1898, Level 1
-163.000015259	69.8206759747
-163.041824979	69.7860074769
-163.103501946	69.7006179904
-163.113786526	69.675989929
-163.100022889	69.6701304646
-163.095262074	69.6719310292
-163.105333028	69.6763561456
-163.098649577	69.6949721523
-163.076523995	69.7251850156
-163.058457313	69.7357747768
-163.061814298	69.7443503471
-163.048874647	69.7488364996
-163.047409781	69.7647364004
-163.030563821	69.7864042115
-163.020981155	69.7901579309
-163.016159304	69.8026398108
-162.97987335	69.8262302586
-162.918867781	69.8574807355
-162.877821012	69.8724040589
-162.855786984	69.8887312123
-162.835828183	69.8944075685
-162.838941024	69.8964522774
-162.861921111	69.8923933776
-162.999465934	69.8216830701
-163.000015259	69.8206759747
> Shore Bin # 1898, Level 1
-162.663767453	70
-162.663523308	69.9990539406
-162.710429541	69.9676508736
-162.793072404	69.9280689708
