19912612215509  5           IJKLM  39.937 -125.487  0.212  0.137 15.781  216.26
19912630342432  3             IJK  41.534 -126.145  0.976  0.187 73.002  207.95
19912630500593  5           IJKLM  41.686 -126.238  0.083  0.038  5.637  215.75
19912632105538  4            IJLM  41.614 -125.931  0.027  0.014  1.781  219.32
19912632246204  3             IJK  41.422 -125.874  1.403  0.155 99.999  215.78
19912640505593  4            IJKL  40.954 -126.174  0.020  0.008  1.383  214.03
19912640533192  3             IJK  42.378 -126.878  0.318  0.187 24.543  214.18
19912640945410  5           IJKLM  40.876 -125.900  0.014  0.008  0.967  225.80
19912641312480  5           IJKLM  41.268 -125.618  0.043  0.026  3.085  221.12
19912641411436  4            IJKM  42.300 -125.780  0.005  0.002  0.353  213.11
19912650253109  3             IJK  41.371 -125.730  1.777  0.131 99.999  205.48
19912661044443  3             IJK  42.611 -125.788  0.704  0.174 52.246  219.97
19912670228316  3             IJK  40.656 -126.103  1.640  0.186 99.999  213.15
19912671013421  5           IJKLM  42.151 -125.987  0.077  0.034  5.256  221.53
19912671131300  5           IJKLM  41.600 -125.802  0.100  0.054  7.068  222.83
19912671207063  5           IJKLM  41.658 -125.744  0.103  0.056  7.269  223.22
19912671847346  5           IJKLM  41.586 -125.873  0.083  0.043  5.770  216.65
19912681156345  4            IJLM  40.342 -126.390  0.060  0.034  4.047  224.39
19912682307088  3             IJK  41.573 -126.339  0.801  0.200 60.087  205.54
19912690158584  3             IJK  42.115 -125.430  2.040  0.125 99.999  201.66
19912691003237  3             IJK  41.068 -125.802  1.890  0.139 99.999  202.31
19912691038372  4            IJLM  40.933 -127.602  0.010  0.004  0.594  215.39
19912700334479  3             IJK  42.123 -125.954  0.825  0.175 61.461  205.91
19912700401389  3             IJK  41.162 -126.388  0.972  0.208 72.950  206.80
19912700803137  5           IJKLM  41.959 -125.879  0.006  0.003  0.396  218.14
19912700846466  5           IJKLM  41.920 -126.010  0.050  0.023  3.390  218.11
19912701453453  5           IJKLM  41.551 -125.616  0.022  0.013  1.603  225.58
19912701750338  5           IJKLM  41.725 -126.191  0.062  0.029  4.206  218.51
19912701829332  5           IJKLM  42.030 -126.238  0.010  0.004  0.694  216.79
19912710248163  4            IJKL  40.148 -126.027  0.026  0.012  1.872  216.45
19912711311595  5           IJKLM  40.367 -124.927  0.033  0.024  2.534  221.89
19912720814000  3             IJK  42.073 -125.557  1.467  0.117 99.999  217.86
19912721331452  4            IJKL  41.881 -125.890  0.015  0.006  1.025  211.87
19912732113368  3             IJK  41.519 -125.778  1.509  0.141 99.999  207.28
19912740007518  5           IJKLM  41.963 -125.994  0.012  0.005  0.795  217.30
19912741416302  3             IJK  40.020 -126.583  1.481  0.248 99.999  205.47
19912741440318  4            IJKL  40.044 -127.631  0.060  0.022  4.095  213.06
19912741538473  5           IJKLM  40.086 -127.573  0.033  0.014  2.170  220.24
19912742000217  3             IJK  41.611 -125.877  1.267  0.160 94.538  211.35
19912750118196  4            IJKL  40.846 -126.124  0.062  0.027  4.400  213.56
19912750353155  3             IJK  42.132 -125.761  1.042  0.152 77.578  205.00
19912751252190  4            IJKL  41.561 -125.661  0.065  0.030  4.683  214.33
19912751921568  5           IJKLM  41.200 -127.619  0.006  0.003  0.402  218.01
19912760049587  3             IJK  40.297 -126.180  1.789  0.196 99.999  211.00
19912760057012  3             IJK  42.085 -125.366  0.006  0.132  0.438  217.60
19912770957525  5           IJKLM  41.847 -125.800  0.021  0.011  1.455  217.12
19912780145476  5           IJKLM  41.230 -125.597  0.011  0.007  0.818  219.26
19912781036090  5           IJKLM  41.821 -125.831  0.065  0.033  4.550  226.15
19912800755450  3             IJK  42.243 -125.676  1.082  0.142 80.515  208.52
19912800907208  3             IJK  42.749 -125.705  0.723  0.176 53.540  203.60
19912810146108  4            IJKL  42.492 -125.761  0.083  0.029  5.850  215.96
19912811221319  5           IJKLM  41.941 -127.040  0.014  0.006  0.896  226.78
19912820156269  3             IJK  42.621 -125.666  0.860  0.163 63.727  201.64
19912820253589  5           IJKLM  41.850 -125.853  0.040  0.020  2.747  214.21
19912821313404  3             IJK  41.553 -125.794  1.465  0.146 99.999  214.46
19912830847301  4            IJLM  42.555 -126.583  0.001  0.000  0.036  212.17
19912830956146  3             IJL  39.917 -127.520  0.193  0.067 12.537  212.32
19912831040047  3             IJK  41.310 -125.816  1.633  0.146 99.999  208.21
19912831113226  3             IJK  42.327 -125.855  0.810  0.172 60.276  207.70
19912841159405  3             IJK  40.451 -126.205  1.626  0.199 99.999  209.68
19912842059177  3             IJK  41.484 -126.067  1.090  0.181 81.480  210.12
19912850336237  4            IJKL  41.950 -125.733  0.022  0.009  1.542  211.45
19912850833067  5           IJKLM  41.263 -127.560  0.029  0.012  1.866  217.61
19912851910132  3             IJK  41.818 -125.957  0.994  0.169 74.168  211.62
19912852204095  4            IJKM  40.190 -126.126  0.117  0.070  8.283  214.67
19912860518303  5           IJKLM  42.055 -126.033  0.063  0.028  4.276  218.49
19912860519456  5           IJKLM  42.639 -125.830  0.007  0.003  0.468  216.21
19912860555060  3             IJK  39.765 -126.115  0.006  0.113  0.468  211.23
19912860911261  5           IJKLM  41.868 -125.971  0.011  0.005  0.743  215.05
19912861423534  5           IJKLM  41.949 -125.927  0.006  0.003  0.424  224.23
19912861431134  3             IJK  39.787 -126.130  1.986  0.174 99.999  213.90
19912861729245  5           IJKLM  41.839 -126.152  0.006  0.003  0.393  216.15
19912861736086  5           IJKLM  41.923 -127.092  0.018  0.008  1.143  216.68
19912861824534  3             IJK  42.157 -125.351  0.006  0.133  0.440  209.17
19912871449459  5           IJKLM  41.742 -125.724  0.011  0.006  0.800  219.02
19912871524446  5           IJKLM  41.912 -125.935  0.030  0.014  2.054  212.54
19912871715412  3             IJK  41.751 -126.075  0.921  0.182 68.796  203.32
19912871856038  5           IJKLM  42.018 -125.916  0.001  0.001  0.082  217.60
19912880737386  4            IJKM  41.555 -125.789  0.004  0.002  0.301  209.18
19912890708283  5           IJKLM  41.966 -125.964  0.007  0.003  0.509  221.06
19912900452177  3             IJK  39.986 -125.968  0.006  0.117  0.452  209.15
19912901908482  3             IJK  40.022 -126.581  1.482  0.248 99.999  207.55
19912910222451  5           IJKLM  42.021 -125.953  0.092  0.043  6.286  217.36
19912931641294  3             IJK  42.407 -127.320  0.248  0.181 19.715  209.07
19912941231463  4            IJKL  41.151 -126.152  0.125  0.052  8.822  218.45
19912951135482  5           IJKLM  40.143 -127.290  0.018  0.008  1.215  222.95
19912970416510  3             IJK  42.245 -125.691  1.056  0.144 78.546  214.33
19912980602452  3             IJK  42.336 -126.010  0.666  0.183 49.645  206.20
19912981539598  5           IJKLM  41.855 -125.837  0.043  0.023  2.979  219.87
19912981905284  5           IJKLM  41.294 -127.372  0.011  0.005  0.691  216.97
19913020248228  3             IJK  40.365 -125.939  0.006  0.113  0.467  211.81
19913032041370  5           IJKLM  41.631 -125.829  0.072  0.038  5.069  224.77
19913040239573  3             IJK  39.843 -126.016  0.006  0.117  0.456  207.07
19913041638492  4            IJKL  40.340 -125.789  0.037  0.019  2.714  213.07
19913050012583  4            IJKL  41.422 -125.734  0.001  0.000  0.040  213.75
19913060110375  5           IJKLM  39.754 -125.126  0.326  0.226 24.898  229.72
19913062320024  5           IJKLM  41.098 -125.424  0.006  0.004  0.413  220.31
19913071355408  3             IJK  42.606 -125.898  0.617  0.183 45.851  212.65
19913072231247  3             IJK  41.479 -125.920  1.297  0.164 96.848  217.57
19913081815380  3             IJK  42.183 -126.068  0.698  0.184 52.136  214.21
19913090819032  5           IJKLM  41.234 -127.324  0.005  0.002  0.338  216.40
19913100614035  3             IJK  42.020 -126.351  0.598  0.195 44.913  201.46
19913101639031  5           IJKLM  42.155 -125.949  0.009  0.004  0.619  229.25
19913102039516  5           IJKLM  42.689 -126.451  0.024  0.011  1.536  231.99
19913102212101  5           IJKLM  41.712 -125.922  0.070  0.035  4.881  215.96
19913112138143  3             IJL  41.410 -124.317  0.465  0.357 38.145  208.77
19913120021357  3             IJL  40.696 -126.154  0.313  0.144 21.547  211.08
19913120803330  3             IJK  40.752 -126.020  1.710  0.175 99.999  213.31
19913122121475  3             IJK  42.500 -125.886  0.682  0.179 50.715  208.48
19913122254085  4            IJKL  40.291 -127.496  0.011  0.004  0.741  214.81
19913130146240  5           IJKLM  42.547 -126.649  0.021  0.010  1.388  221.06
19913142052070  3             IJK  42.572 -125.713  0.827  0.167 61.355  209.23
19913151430425  4            IJKL  41.558 -125.593  0.069  0.034  5.041  215.61
19913151838348  5           IJKLM  41.610 -126.196  0.003  0.001  0.210  225.08
19913160319447  4            IJKM  39.900 -124.084  0.720  0.651 59.814  216.30
19913161245454  5           IJKLM  41.455 -125.847  0.051  0.028  3.610  217.85
19913161816396  3             IJK  41.226 -126.069  1.267  0.182 94.728  225.26
19913162024211  3             IJK  41.589 -125.584  2.022  0.118 99.999  212.11
19913170755165  3             IJK  42.186 -125.822  0.912  0.161 67.880  219.72
19913171906283  3             IJL  41.184 -127.636  0.119  0.042  7.415  213.22
19913210828497  4            IJKL  42.097 -125.849  0.010  0.004  0.712  224.42
19913210904308  4            IJKL  42.056 -125.888  0.137  0.052  9.632  222.99
19913212202066  4            IKLM  40.806 -125.245  0.090  0.069  6.841  223.14
19913230508541  3             JLM  41.772 -125.731  0.448  0.308 32.580  226.99
19913231037479  4            IJKL  42.255 -125.514  0.238  0.105 17.114  213.43
19913231444442  4            IJKL  42.490 -125.670  0.067  0.025  4.742  211.44
19913240402375  3             IJK  39.797 -126.644  1.565  0.260 99.999  212.42
19913241519154  5           IJKLM  41.560 -125.591  0.070  0.041  5.007  220.88
19913241931319  3             JKL  41.365 -127.371  0.162  0.077 11.307  224.57
19913242212104  3             IJK  42.382 -125.698  0.952  0.152 70.723  211.74
19913242329199  4            IJKL  41.243 -125.645  0.496  0.245 36.031  218.41
19913251238364  3             IJK  42.427 -125.700  0.920  0.154 68.321  201.96
19913251417051  5           IJKLM  41.751 -125.871  0.052  0.027  3.610  213.56
19913280303094  5           IJKLM  41.803 -125.960  0.047  0.023  3.256  216.20
19913280827380  4            IJKL  41.734 -125.759  0.022  0.009  1.542  211.22
19913302259164  3             IJK  42.527 -125.707  0.865  0.163 64.196  205.53
19913310709165  3             IJK  42.589 -126.740  0.293  0.183 22.589  205.78
19913322321292  5           IJKLM  41.216 -125.528  0.300  0.186 21.904  224.69
19913330109594  5           IJKLM  41.524 -125.746  0.011  0.006  0.778  215.14
19913370449181  5           IJKLM  42.314 -126.113  0.131  0.054  8.769  215.27
19913371230157  4            IJKM  41.350 -125.701  0.146  0.087 10.476  209.39
19913380337478  3             IJK  42.037 -126.738  0.442  0.198 33.651  199.46
19913381138581  4            IJKL  41.908 -127.106  0.120  0.051  8.145  208.10
19913391315572  5           IJKLM  41.172 -125.317  0.156  0.119 11.624  227.82
19913410135418  4            IJKL  42.141 -126.040  0.277  0.099 19.238  216.52
19913412011348  5           IJKLM  42.081 -126.148  0.110  0.047  7.372  216.23
19913412235456  4            IJLM  41.218 -126.194  0.118  0.061  7.839  218.29
19913430953160  3             IJK  42.581 -125.753  0.772  0.171 57.249  204.91
19913431305569  3             IJK  42.616 -127.047  0.240  0.176 18.914  219.30
19913431535232  4            IKLM  40.687 -124.628  0.339  0.280 27.527  221.95
19913432227367  5           IJKLM  41.638 -125.789  0.011  0.006  0.807  220.87
19913461302304  5           IJKLM  41.611 -127.359  0.059  0.025  3.795  218.30
19913461828257  5           IJKLM  41.488 -125.711  0.139  0.078  9.865  217.03
19913490950384  5           IJKLM  41.344 -126.299  0.046  0.023  3.104  222.99
19913490951249  4            IJKL  41.239 -126.287  0.153  0.060 10.670  222.52
19913490957469  4            IJKL  41.008 -126.144  0.034  0.014  2.384  213.73
19913490958026  4            IJKL  41.229 -126.194  0.014  0.006  1.006  213.41
19913491505293  4            IJKL  40.200 -126.550  0.186  0.077 13.049  207.23
19913510946216  5           IJKLM  41.726 -125.899  0.020  0.010  1.392  217.52
19913512307368  3             IJK  41.080 -126.092  1.338  0.184 99.999  206.01
19913521249306  3             IJK  41.177 -125.754  1.881  0.130 99.999  212.18
19913600327215  3             IJK  40.833 -125.962  1.752  0.166 99.999  201.16
19913601020380  5           IJKLM  42.068 -127.100  0.019  0.008  1.207  217.51
19913601020442  5           IJKLM  42.144 -127.030  0.071  0.032  4.546  217.64
19913610051183  5           IJKLM  42.054 -125.944  0.021  0.010  1.416  209.42
19913610125095  5           IJKLM  41.739 -125.832  0.168  0.088 11.732  213.15
19913611355171  3             IJL  41.911 -127.673  0.088  0.038  5.463  215.08
19913611721103  5           IJKLM  41.648 -125.747  0.105  0.057  7.402  218.77
19913611749307  3             IJK  41.499 -125.768  1.569  0.141 99.999  205.74
19913611848510  4            IJKL  41.642 -125.815  0.085  0.037  6.065  206.64
19913630922506  3             IJK  42.663 -126.844  0.258  0.179 20.121  210.52
19913631318122  3             IJK  41.671 -125.735  1.490  0.139 99.999  203.92
19913640428575  5           IJKLM  42.020 -125.864  0.042  0.020  2.900  219.93
19913641318488  3             IJK  41.715 -125.782  1.353  0.147 99.999  206.48
19913641349388  4            IJLM  40.589 -126.252  0.552  0.293 37.259  213.84
19920110737359  3             IJK  41.105 -125.965  1.521  0.168 99.999  200.68
19920120910268  3             IJK  42.015 -126.774  0.441  0.200 33.642  205.13
19920150519384  3             IJK  41.844 -125.977  0.971  0.175 72.405  206.21
19920151753000  3             IJK  41.244 -125.664  2.117  0.122 99.999  210.45
19920160339318  5           IJKLM  41.866 -125.744  0.070  0.037  4.916  223.97
19920160420158  5           IJKLM  41.104 -125.392  0.246  0.171 18.212  214.69
19920160902467  3             IJK  41.566 -127.420  0.417  0.217 32.434  205.86
19920160903136  4            IJKL  41.920 -127.300  0.027  0.012  1.805  209.21
19920170502523  3             IJK  42.318 -125.687  1.048  0.151 77.869  204.77
19920171419111  3             IJK  41.834 -125.897  0.526  0.109 39.223  212.19
19920191648589  4            IJKM  41.679 -125.753  0.022  0.012  1.552  209.62
19920191816499  3             IJL  40.498 -124.571  1.057  0.747 83.662  206.92
