 PDE   1973   12 17 215402.50  48.09  154.51  33 5.60 mb GS   .. . .......      
 PDE   1973   12 26 125258.70  49.48  155.74  56 4.90 mb GS   .. . .......      
 PDE   1974   01 04 204104.20  48.26  154.92  34 4.60 mb GS   .. . .......      
 PDE   1974   01 09 024946.20  51.65  159.64  33 5.40 mb GS   .. . .......      
 PDE   1974   01 10 023701.50  51.65  159.58  33 4.90 mb GS   .. . .......      
 PDE   1974   01 10 051854.30  51.59  159.72  33 5.30 mb GS   .. . .......      
 PDE   1974   01 11 092225.50  51.68  159.49  33 4.60 mb GS   .. . .......      
 PDE   1974   01 14 203143     48.76  154.96  14 5.50 mb GS   .. . .......      
 PDE   1974   02 07 190407     50.00  156.40  46 5.00 mb GS   .. . .......      
 PDE   1974   02 09 182214.80  50.61  157.24  57 4.90 mb GS   .. . .......      
 PDE   1974   02 17 083432.80  50.70  156.48  62 4.60 mb GS   .. . .......      
 PDE   1974   03 11 113733.50  48.32  153.20 169 5.90 mb GS   .. . .......      
 PDE   1974   03 12 034235.30  50.79  155.43 164 4.20 mb GS   .. . .......      
 PDE   1974   03 15 221129.40  49.44  158.46  35 5.00 mb GS   .. . .......      
 PDE   1974   03 16 235238.80  44.96  150.23  99 4.10 mb GS   .. . .......      
 PDE   1974   03 23 065120.30  46.86  153.79  33 4.80 mb GS   .. . .......      
 PDE   1974   04 02 075908     46.60  153.84  33 4.30 mb GS   .. . .......      
 PDE   1974   04 07 060156.60  46.79  153.64  33 4.50 mb GS   .. . .......      
 PDE   1974   04 07 063312     46.76  153.84  19 4.70 mb GS   .. . .......      
 PDE   1974   04 17 054535.20  49.77  157.10  33 4.60 mb GS   .. . .......      
 PDE   1974   04 17 061522.70  49.87  156.90  33 4.60 mb GS   .. . .......      
 PDE   1974   04 17 061738.10  49.74  157.03  33 4.50 mb GS   .. . .......      
 PDE   1974   04 22 134150.40  50.32  156.70  45 4.80 mb GS   .. . .......      
 PDE   1974   04 24 235645     48.07  153.92  64 4.80 mb GS   .. . .......      
 PDE   1974   04 30 010125.10  49.78  155.88  50 4.40 mb GS   .. . .......      
 PDE   1974   05 02 223615.30  51.62  159.49  59 4.60 mb GS   .. . .......      
 PDE   1974   05 04 215710     51.58  159.67  33 4.60 mb GS   .. . .......      
 PDE   1974   05 07 210341.50  47.56  156.26  33 4.70 mb GS   .. . .......      
 PDE   1974   05 09 052534.50  51.35  159.79  33 4.10 mb GS   .. . .......      
 PDE   1974   05 13 014228.60  50.99  155.88 177 4.30 mb GS   .. . .......      
 PDE   1974   05 14 081042.60  51.29  150.73 523 4.20 mb GS   .. . .......      
 PDE   1974   05 14 105418.70  51.22  157.72  53 4.70 mb GS   .. . .......      
 PDE   1974   05 15 185955.90  50.05  156.11  56 6.50 UKPAS   .. . .......      
 PDE   1974   05 20 001419.70  51.37  159.70  33 4.60 mb GS   .. . .......      
 PDE   1974   05 27 044123.60  50.83  157.35  47 5.60 mb GS   .. . .......      
 PDE   1974   05 30 010509     47.98  154.53  33 4.60 mb GS   .. . .......      
 PDE   1974   06 06 170141.90  45.00  150.76  33 4.90 mb GS   .. . .......      
 PDE   1974   06 08 030821     47.05  150.86 261 4.10 mb GS   .. . .......      
 PDE   1974   06 10 085643     46.79  152.79  33 4.60 mb GS   .. . .......      
 PDE   1974   06 17 020050     48.42  154.12  33 4.60 mb GS   .. . .......      
 PDE   1974   06 17 021829.50  48.23  154.35  33 5.10 mb GS   .. . .......      
 PDE   1974   06 27 145617.90  51.91  156.87 130 4.60 mb GS   .. . .......      
 PDE   1974   07 07 125317.30  46.63  152.72  33 5.20 mb GS   .. . .......      
 PDE   1974   07 14 162526.80  51.94  152.41 378 4.50 mb GS   .. . .......      
 PDE   1974   07 17 052548.70  46.55  151.35 103 4.40 mb GS   .. . .......      
 PDE   1974   07 22 053408.50  51.89  151.13 460 4.60 mb GS   .. . .......      
 PDE   1974   07 23 215057.30  49.38  155.74  33 4.50 mb GS   .. . .......      
 PDE   1974   07 28 113459.70  46.29  153.33  52 6.30 UKPAS   2F . .......      
