20070225 1037 21.43 36 59.49 121 28.22   5.08   2.17 87  48  4.0 0.08  0.1  0.3  D 240 75 160  0.18  76  0.23 0.72 0.62  13 30 30    40193894
20070225 1515  3.10 36 27.59 121  2.32   5.66   2.06 56  58  4.0 0.06  0.2  0.4  D 235 10-180  0.14  47  0.21 0.46 0.43  25 25 40    40193901
20070225 1702 27.48 37 18.33 121  4.50   6.64   3.50111  62 22.0 0.14  0.2  0.4  L 265 45 110  0.14 111  0.19 0.59 0.23  28 18 30C   40193905
20070226 0045 43.78 37 18.94 121  4.73   0.01   2.04 53  78 15.0 0.41  0.6  8.1  D 325 85  20  0.18  42  0.28 0.24 0.36  20 13  0    40193915
20070227 2133 45.22 36 53.86 121 37.22   0.01   2.66 33  62  3.0 0.08  0.1 31.6  D 190 50 160  0.06  29  0.18 0.53 0.21  25 23 55    40193968
20070227 2133 45.22 36 53.86 121 37.22   0.01   2.66 33  62  3.0 0.08  0.1 31.6  D 290 75 140  0.09  29  0.21 0.49 0.21  13 20 10C*  40193968
