1998/04/24,00:00:24.02 37.9830 139.0292 15.04 3.5 OFF_N_NIIGATA_PREF 3;176 50;40 95;85 1.83e+14 11 3.5 57.22 -0.2264 -0.0141 0.1319 -1.6845 -0.3131 1.9110 1e+14 3
1998/04/27,07:06:41.38 36.0855 139.8860 50.23 4.0 SW_IBARAKI_PREF 41;262 79;14 81;130 1.41e+15 50 4.1 89.79 -0.4981 0.1572 0.7894 -0.1055 -1.0272 0.6036 1e+15 3
1998/06/08,08:02:32.14 36.1088 139.9053 50.97 3.8 SW_IBARAKI_PREF 50;232 70;20 89;92 1.23e+15 53 4.0 92.88 -0.4867 0.3624 0.7036 -0.3397 -0.6041 0.8264 1e+15 3
1998/06/11,11:01:36.31 36.8623 139.5292 9.44 3.8 NORTHERN_TOCHIGI_PREF 56;155 80;49 138;14 6.54e+14 8 3.8 67.17 3.3282 2.5941 3.7524 -4.9549 -1.6862 1.6266 1e+14 3
1998/06/11,11:03:08.12 36.8595 139.5335 8.28 3.8 NORTHERN_TOCHIGI_PREF 56;160 80;36 124;18 9.53e+14 5 4.0 74.92 3.0808 2.9832 6.8162 -5.8503 -3.1524 2.7695 1e+14 3
1998/06/13,02:02:46.24 37.8305 138.4653 20.08 4.1 SADOGASHIMA_IS_REG 242;358 65;46 130;35 4.91e+14 8 3.8 85.09 0.1425 2.5930 -2.9940 -2.9756 -0.2468 2.8331 1e+14 3
1998/07/01,02:22:47.49 36.6148 137.9307 8.57 4.7 NORTHERN_NAGANO_PREF 354;244 71;47 46;153 3.79e+16 8 5.0 93.37 0.5416 2.2296 -1.0860 -2.2624 -2.0140 1.7208 1e+16 3
1998/07/06,10:54:22.35 36.1007 139.9070 49.20 3.4 SW_IBARAKI_PREF 55;241 66;24 88;96 2.73e+14 56 3.6 69.16 -1.4469 0.8051 1.4431 -0.6700 -1.0998 2.1169 1e+14 3
1998/07/15,07:09:46.26 36.0902 139.9008 51.03 4.4 SW_IBARAKI_PREF 45;239 69;21 85;103 9.13e+15 44 4.6 90.31 -3.8769 2.5014 4.5636 -2.4683 -5.0893 6.3452 1e+15 3
1998/08/03,20:09:33.32 37.1998 139.9995 10.95 4.9 MID_FUKUSHIMA_PREF 167;8 67;25 81;109 4.99e+16 5 5.1 86.37 0.3637 -0.2581 1.0253 -3.8305 3.2246 3.4668 1e+16 3
1998/08/07,14:47:14.86 36.2335 137.6602 7.91 3.9 HIDA_MOUNTAINS_REGION 82;174 86;71 161;5 1.71e+15 5 4.1 93.66 0.2593 1.5715 0.5442 -0.5057 -0.0381 0.2464 1e+15 3
1998/08/07,15:55:53.82 36.2350 137.6610 7.99 3.6 HIDA_MOUNTAINS_REGION 261;171 88;65 -155;-2 9.60e+14 5 4.0 91.40 2.3135 8.3039 3.8888 -2.8357 -1.4155 0.5222 1e+14 3
1998/08/07,21:02:15.59 36.2353 137.6405 6.95 3.7 HIDA_MOUNTAINS_REGION 272;181 87;62 -152;-4 1.67e+15 5 4.1 94.80 -0.0728 1.4676 0.7852 0.1022 -0.1053 -0.0294 1e+15 3
1998/08/07,22:02:40.65 36.2305 137.6247 5.69 3.6 HIDA_MOUNTAINS_REGION 273;182 88;63 -153;-2 2.96e+15 5 4.3 95.24 -0.2841 2.6176 1.3553 0.2826 -0.0785 0.0015 1e+15 3
1998/08/07,22:12:38.36 36.2325 137.6490 8.31 3.5 HIDA_MOUNTAINS_REGION 85;176 87;71 161;3 6.30e+14 5 3.8 90.60 0.8286 5.8697 2.0796 -1.0701 0.0610 0.2415 1e+14 3
1998/08/08,19:51:57.86 36.2297 137.6497 5.74 3.9 HIDA_MOUNTAINS_REGION 262;170 85;63 -153;-5 2.57e+15 5 4.2 91.90 0.7979 2.1739 1.1036 -0.6130 -0.3374 -0.1849 1e+15 3
1998/08/09,12:45:23.30 36.2322 137.6402 5.70 4.2 HIDA_MOUNTAINS_REGION 91;182 89;57 147;1 6.37e+15 5 4.5 94.77 -0.3042 5.3394 3.4663 0.1971 0.1299 0.1071 1e+15 3
1998/08/12,09:40:34.83 36.2303 137.6533 5.22 4.1 HIDA_MOUNTAINS_REGION 267;176 89;58 -148;-1 6.65e+15 5 4.5 93.92 0.6607 5.6058 3.5015 -0.5825 -0.3433 -0.0782 1e+15 3
1998/08/12,15:13:03.98 36.2308 137.6275 3.96 4.7 HIDA_MOUNTAINS_REGION 84;178 84;56 146;7 2.25e+16 5 4.9 94.92 0.1296 1.8427 1.2444 -0.3713 0.0876 0.2416 1e+16 3
