number,name,region,lat,lon,elev,type,status,lasterp
0604-17=,Ilimuda,Lesser Sunda Is,-8.478,122.671,1100,Stratovolcano,Fumarolic,U
0604-25=,Iliwerung,Lesser Sunda Is,-8.54,123.59,1018,Complex volcano,Historical,D1
1502-041,Illiniza,Ecuador,-0.659,-78.714,5248,Stratovolcano,Holocene,U
1403-06=,Ilopango,El Salvador,13.672,-89.053,450,Caldera,Historical,D3
1000-03=,Ilyinsky,Kamchatka,51.49,157.2,1578,Stratovolcano,Historical,D2
1202-161,Imagination Peak,US-Oregon,42.552,-122.201,1986,Pyroclastic cone,Holocene,Unknown
0601-101,Imun,Sumatra,2.15,98.93,1505,Unknown,Holocene,Unknown
1104-02-,Imuruk Lake,Alaska-W,65.6,-163.92,610,Shield volcano,Radiocarbon,D6
1201-07-,Indian Heaven,US-Washington,45.93,-121.82,1513,Shield volcano,Radiocarbon,D7
1104-05-,Ingakslugwat Hills,Alaska-W,61.43,-164.47,190,Cinder cone,Holocene,U
0604-09=,Inielika,Lesser Sunda Is,-8.73,120.98,1559,Complex volcano,Historical,D2
0604-08=,Inierie,Lesser Sunda Is,-8.875,120.95,2245,Stratovolcano,Fumarolic,U
1203-13-,Inyo Craters,US-California,37.692,-119.02,2629,Lava dome,Radiocarbon,D6
1402-19-,Ipala Volc Field,Guatemala,14.55,-89.63,1650,Stratovolcano,Holocene,U
0704-06-,Iraya,Luzon-N of,20.469,122.01,1009,Stratovolcano,Historical,D6
1405-06=,Irazu,Costa Rica,9.979,-83.852,3432,Stratovolcano,Historical,D1
0703-041,Iriga,Luzon-Philippines,13.457,123.457,1196,Stratovolcano,Historical,D5
0802-01=,Iriomote-jima,Ryukyu Is,24.558,124,-200,Submarine volcano,Historical,D2
1505-04=,Irruputuncu,Chile-N,-20.73,-68.55,5163,Stratovolcano,Historical,D1
1101-37-,Isanotski,Aleutian Is,54.75,-163.73,2446,Stratovolcano,Historical,D3
0703-042,Isarog,Luzon-Philippines,13.658,123.37,1966,Stratovolcano,Holocene,U
0101-03=,Ischia,Italy,40.73,13.897,789,Complex volcano,Historical,D6
1200-09-,Iskut-Unuk River Cones,Canada,56.58,-130.55,1880,Cinder cone,Radiocarbon,D3
1505-03=,Isluga,Chile-N,-19.15,-68.83,5050,Stratovolcano,Historical,D2
0303-014,Itasy Volc Field,Madagascar,-19,46.77,1800,Scoria cone,Radiocarbon,D7
0301-05=,"Ithnayn, Harrat",Arabia-W,26.58,40.2,1625,Volcanic field,Holocene,U
1000-231,Iult,Kamchatka,55.23,160.587,1857,Stratovolcano,Holocene,U
0900-111,Ivao Group,Kuril Is,45.77,149.68,1426,Cinder cone,Holocene,U
0803-27=,Iwaki,Honshu-Japan,40.65,140.3,1625,Stratovolcano,Historical,D3
0803-24=,Iwate,Honshu-Japan,39.85,141,2041,Complex volcano,Historical,D2
0802-02=,Iwo-Tori-shima,Ryukyu Is,27.85,128.25,217,Complex volcano,Historical,D1
