x y z ux uy uz sxx syy szz syz sxz sxy
(km) (km) (km) (m) (m) (m) (bar) (bar) (bar) (bar) (bar) (bar)
  -46.0000    6.0000   -7.5000    0.0610    0.0306   -0.0095    1.7202   -0.7846   -0.0716   -0.0322    0.1241   -0.2592 
  -46.0000   10.0000   -7.5000    0.0505    0.0249   -0.0116    1.3054   -0.7643   -0.0725   -0.0438    0.0681   -0.5093 
  -46.0000   14.0000   -7.5000    0.0388    0.0200   -0.0137    0.7956   -0.6759   -0.0681   -0.0473    0.0114   -0.6617 
  -46.0000   18.0000   -7.5000    0.0270    0.0164   -0.0156    0.2756   -0.5575   -0.0612   -0.0422   -0.0433   -0.6872 
  -46.0000   22.0000   -7.5000    0.0164    0.0139   -0.0172   -0.1641   -0.4540   -0.0543   -0.0275   -0.0914   -0.5988 
  -46.0000   26.0000   -7.5000    0.0078    0.0122   -0.0185   -0.4644   -0.3935   -0.0485   -0.0047   -0.1265   -0.4438 
  -46.0000   30.0000   -7.5000    0.0014    0.0111   -0.0193   -0.6147   -0.3780   -0.0431    0.0215   -0.1436   -0.2775 
  -46.0000   34.0000   -7.5000   -0.0027    0.0100   -0.0195   -0.6429   -0.3909   -0.0376    0.0448   -0.1426   -0.1402 
  -46.0000   38.0000   -7.5000   -0.0051    0.0088   -0.0191   -0.5924   -0.4107   -0.0316    0.0607   -0.1279   -0.0490 
  -46.0000   42.0000   -7.5000   -0.0062    0.0075   -0.0184   -0.5043   -0.4217   -0.0254    0.0680   -0.1057   -0.0022 
  -46.0000   46.0000   -7.5000   -0.0064    0.0060   -0.0173   -0.4075   -0.4167   -0.0197    0.0678   -0.0816    0.0114 
  -46.0000   50.0000   -7.5000   -0.0062    0.0044   -0.0161   -0.3186   -0.3960   -0.0146    0.0626   -0.0593    0.0048 
  -42.0000  -50.0000   -7.5000    0.0444    0.0530    0.0061    0.4432    0.7238    0.0176    0.1431    0.1173    0.7009 
  -42.0000  -46.0000   -7.5000    0.0490    0.0561    0.0062    0.5529    0.7398    0.0193    0.1558    0.1384    0.7866 
  -42.0000  -42.0000   -7.5000    0.0540    0.0590    0.0062    0.6836    0.7428    0.0207    0.1676    0.1621    0.8752 
  -42.0000  -38.0000   -7.5000    0.0594    0.0617    0.0060    0.8368    0.7291    0.0213    0.1777    0.1880    0.9636 
  -42.0000  -34.0000   -7.5000    0.0649    0.0641    0.0057    1.0133    0.6945    0.0208    0.1848    0.2154    1.0474 
  -42.0000  -30.0000   -7.5000    0.0705    0.0660    0.0052    1.2128    0.6348    0.0184    0.1877    0.2432    1.1211 
  -42.0000  -26.0000   -7.5000    0.0761    0.0673    0.0044    1.4329    0.5459    0.0133    0.1847    0.2694    1.1777 
