>
44.13938        145.2109
44.14355        145.2148
44.14549         145.217
44.14855        145.2198
>VALUE!                0
44.11439         145.167
44.11855         145.172
 44.1205        145.1759
44.12133         145.179
44.12355         145.184
44.12439        145.1879
>VALUE!                0
44.12744         145.189
44.12938        145.1929
44.13133        145.1959
44.13438         145.199
44.13549        145.1998
>VALUE!                0
44.13438        145.1848
44.13633        145.1909
44.13744         145.197
44.14049         145.204
>VALUE!                0
44.14744        145.2079
44.15049        145.2109
44.15438        145.2129
44.15744        145.2159
>VALUE!                0
44.14855         145.212
44.15049        145.2148
44.15355         145.217
44.15744        145.2198
>VALUE!                0
44.06634        145.1221
 44.0705        145.1209
44.07356        145.1221
>VALUE!                0
44.07356        145.1209
44.07134        145.1198
44.06856         145.119
>VALUE!                0
44.07939        145.1298
44.08356        145.1329
 44.0855        145.1348
44.08939        145.1371
>VALUE!                0
 44.0905        145.1348
44.08633        145.1329
44.08439        145.1309
44.08133        145.1279
>VALUE!                0
 44.0955        145.1429
44.09356        145.1409
44.09244         145.139
>VALUE!                0
44.09439         145.144
44.09744        145.1471
 44.1005        145.1479
44.10439        145.1498
>VALUE!                0
44.10439        145.1498
 44.1005        145.1498
44.09744         145.149
44.09439        145.1479
>VALUE!                0
44.03856         145.079
 44.0405        145.0848
44.04245        145.0898
44.04356         145.094
>VALUE!                0
44.04439        145.0998
44.04134        145.0959
44.04051         145.094
>VALUE!                0
43.86052         145.036
43.85247        145.0348
43.84636        145.0348
43.84247        145.0348
43.83636        145.0329
>VALUE!                0
43.83553         145.041
43.84553        145.0471
43.85247        145.0521
43.86052        145.0548
43.86858        145.0579
43.87441        145.0579
43.87747         145.059
>VALUE!                0
44.02854        144.0171
44.03548        144.0241
44.04048         144.028
>VALUE!                0
44.04048         144.026
44.04742        144.0321
44.05353        144.0371
44.06131         144.043
44.06937         144.046
44.07631         144.051
44.08242        144.0549
44.08853         144.061
44.09436        144.0671
44.09853        144.0721
44.10131        144.0749
>VALUE!                0
 43.8944        144.7721
43.90135         144.779
43.90551        144.7871
43.91135        144.7929
>VALUE!                0
43.91246        144.7971
43.91857         144.801
43.92135        144.8049
43.92635        144.8099
43.93051         144.814
43.93134        144.8171
>VALUE!                0
 43.9344        144.8199
43.93746         144.824
 43.9394        144.8271
43.94245        144.8299
43.94634        144.8329
43.95051         144.836
43.95356         144.839
>VALUE!                0
 43.8844        144.7829
43.88746        144.7849
43.89135         144.789
43.89551        144.7929
43.89857        144.7979
43.90246        144.8021
>VALUE!                0
43.85941         144.774
43.86552         144.779
43.87135        144.7829
43.87746         144.786
43.88135        144.7879
 43.8844        144.7899
>VALUE!                0
43.87941        144.7929
43.88357        144.7979
43.88857        144.8021
43.89135        144.8049
 43.8944        144.8071
>VALUE!                0
43.89357         144.801
43.89857         144.804
43.90246        144.8049
43.90551        144.8071
43.91051        144.8099
 43.9144         144.814
>VALUE!                0
43.90746         144.816
43.91246        144.8199
43.91635        144.8221
 43.9194        144.8249
>VALUE!                0
43.91635         144.816
 43.9194        144.8199
43.92357        144.8229
43.92551        144.8249
 43.9294        144.8271
>VALUE!                0
43.92857        144.8329
 43.9344         144.836
43.94051         144.841
43.94551        144.8449
43.94857        144.8479
43.95134        144.8499
>VALUE!                0
43.94857        144.8371
43.95134         144.841
 43.9544         144.844
43.95856        144.8479
>VALUE!                0
43.95856        144.8479
43.96245        144.8521
43.96634        144.8549
>VALUE!                0
43.95634        144.8549
43.96051        144.8571
43.96356         144.859
>VALUE!                0
43.74554        144.9421
43.75248         144.946
43.75942         144.951
43.76859        144.9579
43.77359        144.9621
43.78053         144.966
43.78636        144.9699
>VALUE!                0
43.79442        144.9798
43.80053         144.984
43.80358        144.9871
43.80858        144.9898
43.81247        144.9929
>VALUE!                0
 43.5725        144.8049
43.57444        144.8149
43.57555         144.826
 43.5775         144.839
43.58139        144.8499
43.58555         144.859
43.58944         144.866
43.59444        144.8729
43.59861         144.879
 43.6025        144.8829
 43.6075         144.889
43.61138        144.8929
43.61749         144.899
43.62249         144.904
43.62749        144.9099
 43.6336         144.916
 43.6386         144.921
43.64555        144.9271
43.65055        144.9321
>VALUE!                0
43.57139        144.7349
 43.5775        144.7429
43.58555         144.754
43.59361        144.7649
43.60138         144.776
43.60749         144.784
43.61444        144.7929
>VALUE!                0
43.66137         144.666
43.66859        144.6679
43.67748        144.6679
43.68554         144.669
>VALUE!                0
43.88745        144.3291
43.89856        144.3271
43.90939         144.328
43.91744        144.3291
43.92439        144.3349
43.93133        144.3399
43.93939        144.3449
 43.9455        144.3521
 43.9505         144.358
43.95633        144.3641
>VALUE!                0
43.60748         144.363
43.60637        144.3699
43.60637        144.3741
43.60554        144.3791
 43.6036         144.383
43.60137        144.3871
>VALUE!                0
43.60137         144.391
43.60554        144.3971
 43.6086        144.4021
43.61137        144.4071
>VALUE!                0
43.89439         144.208
43.90244        144.2091
 43.9105         144.211
43.91939         144.213
